playerID,yearID,teamID,G,AB,R,H,Doubles,Triples,HR,RBI,SB,SO,Walks HBP,AVG,OBP,SLG,OPS
gentrcr01,2012,TEX,122,240,31,73,12,3,1,26,13,41,25,0.304,0.408,0.392,0.800
murphda07,2012,TEX,147,457,65,139,29,3,15,61,10,74,65,0.304,0.446,0.479,0.926
riosal01,2012,CHA,157,605,93,184,37,8,25,91,23,92,33,0.304,0.359,0.516,0.874
braunry02,2010,MIL,157,619,101,188,45,1,25,103,14,105,63,0.304,0.405,0.501,0.906
hunteto01,2013,DET,144,606,90,184,37,5,17,84,3,113,33,0.304,0.358,0.465,0.823
navada01,2013,BOS,134,458,77,139,29,0,12,66,0,93,68,0.303,0.452,0.445,0.897
inciaen01,2015,ARI,132,524,73,159,27,5,6,45,21,58,30,0.303,0.361,0.408,0.769
ordonma01,2010,DET,84,323,56,98,17,1,12,59,1,38,40,0.303,0.427,0.474,0.901
peraljh01,2013,DET,107,409,50,124,30,0,11,55,3,98,38,0.303,0.396,0.457,0.853
gonzaca01,2012,COL,135,518,89,157,31,5,22,85,20,115,69,0.303,0.436,0.510,0.946
bournmi01,2011,HOU,105,429,64,130,26,7,1,32,39,90,43,0.303,0.403,0.403,0.807
weeksje01,2011,OAK,97,406,50,123,26,8,2,36,22,62,26,0.303,0.367,0.421,0.788
gordoal01,2011,KCA,151,611,101,185,45,4,23,87,17,139,76,0.303,0.427,0.502,0.930
doumiry01,2011,PIT,77,218,17,66,12,1,8,30,0,35,17,0.303,0.381,0.477,0.858
kempma01,2012,LAN,106,403,74,122,22,2,23,69,9,103,51,0.303,0.429,0.538,0.968
morsemi01,2011,WAS,146,522,73,158,36,0,31,95,2,126,54,0.303,0.406,0.550,0.956
jayjo02,2014,SLN,140,413,52,125,16,3,3,46,6,78,51,0.303,0.426,0.378,0.804
kipnija01,2015,CLE,141,565,86,171,43,7,9,52,12,107,72,0.303,0.430,0.451,0.881
bloomwi01,2012,ARI,80,324,47,98,21,5,0,23,7,55,12,0.302,0.340,0.398,0.738
goldspa01,2013,ARI,160,602,103,182,36,3,36,125,15,145,121,0.302,0.503,0.551,1.055
martivi01,2010,BOS,127,493,64,149,32,1,20,79,1,52,45,0.302,0.394,0.493,0.886
bautijo02,2011,TOR,149,513,105,155,24,2,43,103,9,111,162,0.302,0.618,0.608,1.226
hillaa01,2012,ARI,156,609,93,184,44,6,26,85,14,86,63,0.302,0.406,0.522,0.928
ruizca01,2010,PHI,121,371,43,112,28,1,8,53,0,54,74,0.302,0.501,0.447,0.949
gonzaca01,2013,COL,110,391,72,118,23,6,26,70,21,118,44,0.302,0.414,0.591,1.005
johnsre02,2012,CHN,76,169,23,51,9,3,3,16,2,43,15,0.302,0.391,0.444,0.834
hosmeer01,2013,KCA,159,623,86,188,34,3,17,79,11,100,56,0.302,0.392,0.448,0.839
canoro01,2011,NYA,159,623,104,188,46,7,28,118,8,96,61,0.302,0.400,0.533,0.933
cruzne02,2015,SEA,152,590,90,178,22,1,44,93,3,164,73,0.302,0.425,0.566,0.992
tulowtr01,2011,COL,143,537,81,162,36,2,30,105,9,79,75,0.302,0.441,0.544,0.985
heltoto01,2011,COL,124,421,59,127,27,0,14,69,0,71,67,0.302,0.461,0.466,0.926
youngde03,2014,BAL,83,242,27,73,11,1,7,30,2,51,13,0.302,0.355,0.442,0.798
spande01,2014,WAS,147,610,94,184,39,8,5,37,31,65,53,0.302,0.389,0.416,0.805
cainlo01,2014,KCA,133,471,55,142,29,4,5,53,28,108,30,0.301,0.365,0.412,0.777
pradoma01,2012,ATL,156,617,81,186,42,6,10,70,17,69,62,0.301,0.402,0.438,0.840
nelsoch01,2012,COL,111,345,45,104,21,3,9,53,2,84,32,0.301,0.394,0.458,0.852
lemahdj01,2015,COL,150,564,85,170,21,5,6,61,23,107,55,0.301,0.399,0.388,0.787
berkmla01,2011,SLN,145,488,90,147,23,2,31,94,2,93,112,0.301,0.531,0.547,1.078
pedrodu01,2013,BOS,160,641,91,193,42,2,9,84,17,75,80,0.301,0.426,0.415,0.841
cabreme01,2014,TOR,139,568,81,171,35,3,16,73,6,67,49,0.301,0.387,0.458,0.845
perezsa02,2012,KCA,76,289,38,87,16,0,11,39,0,27,16,0.301,0.356,0.471,0.827
lucrojo01,2014,MIL,153,585,73,176,53,2,13,69,4,71,71,0.301,0.422,0.465,0.887
martivi01,2013,DET,159,605,68,182,36,0,14,83,0,62,65,0.301,0.408,0.430,0.838
chaveen01,2011,TEX,83,256,37,77,11,3,5,27,10,30,10,0.301,0.340,0.426,0.766
raburry01,2015,CLE,82,173,22,52,16,1,8,29,0,44,30,0.301,0.474,0.543,1.017
hundlni01,2015,COL,103,366,45,110,21,5,10,43,5,76,22,0.301,0.361,0.467,0.828
donaljo02,2013,OAK,158,579,89,174,37,3,24,93,5,110,84,0.301,0.446,0.499,0.945
goldspa01,2014,ARI,109,406,75,122,39,1,19,69,9,110,76,0.300,0.488,0.542,1.030
iglesjo01,2015,DET,120,416,44,125,17,3,2,23,11,44,33,0.300,0.380,0.370,0.750
yelicch01,2015,MIA,126,476,63,143,30,2,7,44,16,101,51,0.300,0.408,0.416,0.824
eatonad02,2014,CHA,123,486,76,146,26,10,1,35,15,83,48,0.300,0.399,0.401,0.800
tulowtr01,2015,COL,87,323,46,97,19,0,12,53,0,72,29,0.300,0.390,0.471,0.861
crawfca02,2014,LAN,105,343,56,103,14,3,8,46,23,55,22,0.300,0.364,0.429,0.793
furcara01,2010,LAN,97,383,66,115,23,7,8,43,22,60,46,0.300,0.420,0.460,0.880
paganan01,2014,SFN,96,383,56,115,21,2,3,27,16,53,27,0.300,0.371,0.389,0.760
castrst01,2010,CHN,125,463,53,139,31,5,3,41,10,71,42,0.300,0.391,0.408,0.799
